valid_time,expire_time,temperature,dew_point,relative_humidity,pressure,wind_direction,wind_direction_cardinal,gust,wind_speed,precipitation_total,precipitation_hourly,visibility,clouds,weather_phrase
1704056400,1704068100,52,50.0,95.0,,,CALM,,0,,,0.31,,Fog
1704067200,1704078900,51,50.0,95.0,,,CALM,,0,,,0.31,,Fog
1704088800,1704100500,56,51.0,82.0,,200.0,SSW,,5,,,0.31,,Fog
1704099600,1704111300,62,48.0,60.0,,200.0,SSW,,6,,,0.31,,Fair
1704110400,1704122100,55,47.0,77.0,,200.0,SSW,,2,,,0.31,,Fog
1704121200,1704132900,52,48.0,85.0,,,CALM,,0,,,0.31,,Fog
1704132000,1704143700,51,48.0,90.0,,,CALM,,0,,,0.31,,Fog
1704142800,1704154500,49,48.0,95.0,,,CALM,,0,,,0.31,,Fog
1704153600,1704165300,49,47.0,92.0,,180.0,S,,2,,,0.31,,Fog
1704164400,1704176100,50,46.0,85.0,,290.0,WNW,,2,0.0,,0.31,,Fog
1704175200,1704186900,55,44.0,68.0,,200.0,SSW,,2,,,0.31,,Fair
1704186000,1704197700,62,46.0,55.0,,200.0,SSW,,2,,,0.62,,Fair
1704196800,1704208500,59,45.0,60.0,,,CALM,,0,,,0.62,,Fair
1704207600,1704219300,48,46.0,92.0,,200.0,SSW,,2,,,0.62,,Fair
1704218400,1704230100,48,47.0,95.0,,,CALM,,0,,,0.31,,Fair
1704229200,1704240900,47,46.0,95.0,,200.0,SSW,,2,,,0.31,,Fog
1704240000,1704251700,49,45.0,87.0,,,CALM,,0,,,0.31,,Fog
1704250800,1704262500,49,46.0,89.0,,320.0,NW,,3,0.0,,0.12,100.0,Fog
1704261600,1704273300,52,49.0,88.0,,340.0,NNW,,3,,,0.31,,Fog
1704272400,1704284100,59,47.0,63.0,,,CALM,,0,,,0.31,,Fair
1704283200,1704294900,57,49.0,75.0,,290.0,WNW,,2,,,0.31,,Fog
1704294000,1704305700,49,47.0,92.0,,,CALM,,0,,,0.31,,Fog
1704304800,1704316500,49,47.0,95.0,,340.0,NNW,,2,,,0.31,,Fog
1704315600,1704327300,49,48.0,95.0,,340.0,NNW,,5,,,0.31,,Fog
1704326400,1704338100,49,47.0,95.0,,340.0,NNW,,2,,,0.31,,Fog
1704337200,1704348900,50,47.0,90.0,,340.0,NNW,,6,0.0,,0.31,,Fog
1704348000,1704359700,54,49.0,83.0,,340.0,NNW,,5,,,0.31,,Fog
1704380400,1704392100,51,49.0,90.0,,320.0,NW,,5,,,0.31,100.0,Fog
1704391200,1704402900,50,48.0,92.0,,340.0,NNW,,3,,,0.31,100.0,Fog
1704402000,1704413700,50,47.0,92.0,,340.0,NNW,,3,,,0.31,100.0,Fog
1704412800,1704424500,50,47.0,92.0,,,CALM,,0,,,0.31,100.0,Fog
1704423600,1704435300,53,51.0,92.0,,,CALM,,0,0.0,,0.12,100.0,Fog
1704434400,1704446100,56,52.0,86.0,,340.0,NNW,,2,,,0.31,,Fog
1704445200,1704456900,57,53.0,87.0,,,CALM,,0,,,0.31,,Fog
1704456000,1704467700,55,53.0,93.0,,,CALM,,0,,,0.31,,Fog
1704466800,1704478500,55,53.0,93.0,,,CALM,,0,,,0.31,,Fog
1704477600,1704489300,53,52.0,97.0,,,CALM,,0,,,0.31,,Fog
1704488400,1704500100,51,51.0,100.0,,,CALM,,0,,,0.31,,Fog
1704499200,1704510900,49,49.0,100.0,,,CALM,,0,,,0.31,,Fog
1704510000,1704521700,51,51.0,100.0,,,CALM,,0,0.0,,0.31,,Fog
1704520800,1704532500,55,49.0,79.0,,,CALM,,0,,,0.31,,Fog
1704531600,1704543300,59,49.0,70.0,,340.0,NNW,,3,,,0.62,25.0,Fair
1704542400,1704554100,56,49.0,77.0,,,CALM,,0,,,0.31,25.0,Fair
1704553200,1704564900,53,48.0,83.0,,,CALM,,0,,,0.31,,Fog
1704564000,1704575700,47,46.0,95.0,,,CALM,,0,,,0.31,,Fog
1704574800,1704586500,46,45.0,94.0,,,CALM,,0,,,0.31,,Fog
1704585600,1704597300,50,46.0,87.0,,,CALM,,0,,,0.31,,Fog
1704596400,1704608100,51,45.0,80.0,,360.0,N,,3,0.0,,0.31,,Fog
1704607200,1704618900,57,47.0,69.0,,,CALM,,0,,,0.62,37.5,Fair
1704618000,1704629700,64,46.0,53.0,,,CALM,,0,,,0.62,25.0,Fair
1704628800,1704640500,61,52.0,71.0,,,CALM,,0,,,0.62,,Fair
1704639600,1704651300,54,52.0,91.0,,,CALM,,0,,,0.31,,Fog
1704650400,1704662100,52,50.0,92.0,,,CALM,,0,,,0.31,,Fog
1704661200,1704672900,46,45.0,97.0,,,CALM,,0,,,0.31,,Fog
1704672000,1704683700,45,45.0,100.0,,,CALM,,0,,,0.31,,Fog
1704682800,1704694500,50,49.0,95.0,,,CALM,,0,0.0,,0.31,,Fog
1704693600,1704705300,53,49.0,85.0,,,CALM,,0,,,0.31,,Fog
1704704400,1704716100,59,49.0,70.0,,,,,3,,,0.31,,Fog
1704715200,1704726900,58,53.0,84.0,,,CALM,,0,,,0.31,,Fog
1704726000,1704737700,52,50.0,95.0,,,CALM,,0,,,0.31,,Fog
1704736800,1704748500,51,50.0,97.0,,180.0,S,,3,,,0.12,100.0,Fog
1704747600,1704759300,49,49.0,97.0,,,CALM,,0,,,0.12,100.0,Fog
1704758400,1704770100,49,48.0,97.0,,,CALM,,0,,,0.12,100.0,Fog
1704769200,1704780900,52,49.0,90.0,,,CALM,,0,0.0,,0.31,100.0,Fog
1704780000,1704791700,53,50.0,88.0,,160.0,SSE,,6,,,0.31,100.0,Fog
1704790800,1704802500,55,49.0,81.0,,180.0,S,,6,,,0.31,100.0,Fog
1704801600,1704813300,55,50.0,84.0,,180.0,S,,6,,,0.31,37.5,Fog
1704812400,1704824100,52,48.0,85.0,,180.0,S,,7,,,0.62,,Fair
1704823200,1704834900,51,48.0,90.0,,110.0,ESE,,3,,,0.31,,Fog
1704834000,1704845700,50,46.0,87.0,,200.0,SSW,,5,,,0.31,,Fog
1704844800,1704856500,47,45.0,92.0,,200.0,SSW,,3,,,0.31,,Fog
1704855600,1704867300,47,46.0,95.0,,230.0,SW,,3,0.0,,0.31,,Fog
1704866400,1704878100,51,44.0,77.0,,180.0,S,,7,,,0.31,,Fog
1704877200,1704888900,56,46.0,67.0,,180.0,S,,6,,,0.62,,Fair
1704888000,1704899700,55,46.0,72.0,,160.0,SSE,,7,,,0.62,,Fair
1704898800,1704910500,50,48.0,94.0,,160.0,SSE,,2,,,0.31,,Fog
1704909600,1704921300,47,46.0,97.0,,,VAR,,1,,,0.31,,Fog
1704920400,1704932100,48,47.0,97.0,,160.0,SSE,,5,,,0.31,,Fog
1704931200,1704942900,48,46.0,95.0,,160.0,SSE,,5,,,0.31,,Fog
1704942000,1704953700,47,46.0,96.0,,160.0,SSE,,5,0.0,,0.31,,Fog
1704952800,1704964500,55,44.0,66.0,,,CALM,,0,,,0.62,,Fair
1704963600,1704975300,63,45.0,50.0,,160.0,SSE,,6,,,0.62,,Fair
1704974400,1704986100,59,47.0,63.0,,290.0,WNW,,7,,,0.62,,Fair
1704985200,1704996900,49,46.0,89.0,,,CALM,,0,,,0.31,,Fog
1704996000,1705007700,45,44.0,94.0,,,CALM,,0,,,0.31,,Fog
1705006800,1705018500,44,44.0,100.0,,,CALM,,0,,,0.31,,Fog
1705017600,1705029300,42,42.0,100.0,,,CALM,,0,,,0.31,,Fog
1705028400,1705040100,45,45.0,100.0,,160.0,SSE,,3,0.0,,0.12,100.0,Fog
1705039200,1705050900,53,47.0,80.0,,180.0,S,,2,,,0.31,,Fog
1705050000,1705061700,65,43.0,45.0,,160.0,SSE,,5,,,0.62,,Fair
1705060800,1705072500,60,45.0,57.0,,140.0,SE,,2,,,0.62,,Fair
1705071600,1705083300,50,46.0,85.0,,,CALM,,0,,,0.62,,Fair
1705082400,1705094100,45,43.0,94.0,,,CALM,,0,,,0.31,,Fog
1705093200,1705104900,43,41.0,94.0,,,CALM,,0,,,0.31,,Fog
1705104000,1705115700,41,40.0,97.0,,,CALM,,0,,,0.12,100.0,Fog
1705114800,1705126500,43,40.0,91.0,,,CALM,,0,0.0,,0.31,100.0,Fog
1705125600,1705137300,56,49.0,77.0,,140.0,SE,,2,,,0.31,25.0,Fog
1705136400,1705148100,61,51.0,69.0,,160.0,SSE,,3,,,0.31,50.0,Partly Cloudy
1705147200,1705158900,59,53.0,79.0,,160.0,SSE,,3,,,0.31,37.5,Fog
1705158000,1705169700,49,48.0,97.0,,,CALM,,0,,,0.12,100.0,Fog
1705168800,1705180500,46,46.0,100.0,,,CALM,,0,,,0.03,100.0,Fog
1705179600,1705191300,44,44.0,100.0,,,CALM,,0,,,0.03,100.0,Fog
1705190400,1705202100,43,43.0,100.0,,,CALM,,0,,,0.03,100.0,Fog
1705201200,1705212900,46,46.0,100.0,,,CALM,,0,0.0,,0.0,100.0,Fog
1705212000,1705223700,52,47.0,85.0,,,CALM,,0,,,0.31,,Fog
1705222800,1705234500,64,45.0,50.0,,140.0,SE,,2,,,0.31,,Fair
1705233600,1705245300,63,46.0,55.0,,,CALM,,0,,,0.62,,Fair
1705244400,1705256100,64,43.0,46.0,,,CALM,,0,,,0.31,,Fog
1705255200,1705266900,46,40.0,80.0,,,CALM,,0,,,0.12,,Fog
1705266000,1705277700,41,40.0,97.0,,,CALM,,0,,,0.12,,Fog
1705276800,1705288500,45,45.0,100.0,,160.0,SSE,,3,,,0.0,,Fog
1705287600,1705299300,44,43.0,97.0,,320.0,NW,,6,0.0,,0.0,,Fog
1705298400,1705310100,57,44.0,61.0,,290.0,WNW,,5,,,0.31,,Fair
1705309200,1705320900,65,42.0,44.0,,250.0,WSW,,5,,,0.62,,Fair
