valid_time,expire_time,temperature,dew_point,relative_humidity,pressure,wind_direction,wind_direction_cardinal,gust,wind_speed,precipitation_total,precipitation_hourly,visibility,clouds,weather_phrase
1357009200,1357016400,44.0,44.0,100.0,29.28,,,,,,,0.03,OVC,Cloudy
1357020000,1357027200,48.0,46.0,92.0,29.32,,,,,,,0.31,CLR,Fair
1357030800,1357038000,58.0,47.0,67.0,29.22,,,,,,,0.31,SCT,Partly Cloudy
1357041600,1357048800,56.0,49.0,77.0,29.2,,,,,,,0.62,SCT,Partly Cloudy
1357052400,1357059600,49.0,48.0,95.0,29.24,,,,,,,0.31,SCT,Partly Cloudy
1357074000,1357081200,44.0,44.0,100.0,29.24,,,,,,,0.03,OVC,Cloudy
1357095600,1357102800,44.0,44.0,100.0,29.31,320.0,NW,,3.0,,,0.03,OVC,Cloudy
1357106400,1357113600,46.0,44.0,94.0,29.35,290.0,WNW,,6.0,,,0.31,OVC,Cloudy
1357128000,1357135200,49.0,45.0,87.0,29.27,,,,,,,0.62,BKN,Mostly Cloudy
1357138800,1357146000,45.0,43.0,94.0,29.33,,,,,,,0.31,CLR,Fair
1357149600,1357156800,43.0,43.0,100.0,29.33,,,,,,,0.31,OVC,Cloudy
1357171200,1357178400,44.0,44.0,100.0,29.3,270.0,W,,7.0,,,0.03,OVC,Cloudy
1357182000,1357189200,44.0,44.0,100.0,29.36,320.0,NW,,2.0,,,0.31,CLR,Fair
1357203600,1357210800,55.0,42.0,63.0,29.31,290.0,WNW,,6.0,,,0.62,BKN,Mostly Cloudy
1357225200,1357232400,45.0,42.0,88.0,29.35,290.0,WNW,,2.0,,,0.62,FEW,Fair
1357236000,1357243200,41.0,40.0,94.0,29.34,,,,,,,0.31,CLR,Fair
1357246800,1357254000,40.0,39.0,97.0,29.31,,,,,,,0.12,OVC,Cloudy
1357268400,1357275600,40.0,40.0,100.0,29.33,,,,,,,0.12,OVC,Cloudy
1357279200,1357286400,50.0,42.0,76.0,29.37,,,,,,,0.62,BKN,Mostly Cloudy
1357290000,1357297200,60.0,39.0,46.0,29.27,320.0,NW,,5.0,,,0.62,SCT,Partly Cloudy
1357300800,1357308000,55.0,42.0,63.0,29.25,,,,,,,0.62,FEW,Fair
1357311600,1357318800,44.0,40.0,88.0,29.29,,,,,,,0.62,CLR,Fair
1357333200,1357340400,39.0,38.0,97.0,29.27,,,,,,,0.12,CLR,Fair
1357344000,1357351200,41.0,40.0,97.0,29.24,270.0,W,,7.0,,,0.31,OVC,Cloudy
1357354800,1357362000,42.0,40.0,94.0,29.29,250.0,WSW,,7.0,,,0.31,OVC,Cloudy
1357376400,1357383600,53.0,40.0,62.0,29.23,,,,,,,0.62,CLR,Fair
1357398000,1357405200,43.0,41.0,91.0,29.28,,,,,,,0.31,CLR,Fair
1357408800,1357416000,40.0,39.0,97.0,29.3,,,,,,,0.31,CLR,Fair
1357419600,1357426800,38.0,38.0,100.0,29.27,,,,,,,0.12,OVC,Cloudy
1357441200,1357448400,41.0,38.0,91.0,29.36,,,,,,,0.12,OVC,Cloudy
1357462800,1357470000,53.0,46.0,80.0,29.29,270.0,W,,5.0,,,0.62,CLR,Fair
1357473600,1357480800,49.0,41.0,74.0,29.29,,,,,,,0.62,CLR,Fair
1357484400,1357491600,42.0,40.0,94.0,29.33,,,,,,,0.31,CLR,Fair
1357506000,1357513200,39.0,39.0,100.0,29.34,,,,,,,0.31,OVC,Cloudy
1357527600,1357534800,39.0,38.0,97.0,29.38,290.0,WNW,,7.0,,,0.31,OVC,Cloudy
1357538400,1357545600,45.0,38.0,75.0,29.43,270.0,W,,5.0,,,0.31,CLR,Fair
1357549200,1357556400,55.0,39.0,55.0,29.33,290.0,WNW,,5.0,,,0.62,CLR,Fair
1357570800,1357578000,44.0,41.0,91.0,29.36,,,,,,,0.62,CLR,Fair
1357592400,1357599600,39.0,39.0,100.0,29.35,290.0,WNW,,3.0,,,0.31,OVC,Cloudy
1357614000,1357621200,40.0,39.0,97.0,29.37,230.0,SW,,12.0,,,0.31,OVC,Cloudy
1357624800,1357632000,49.0,42.0,77.0,29.38,230.0,SW,,7.0,,,0.62,CLR,Fair
1357635600,1357642800,58.0,37.0,45.0,29.3,270.0,W,,13.0,,,0.62,CLR,Fair
1357646400,1357653600,56.0,39.0,54.0,29.28,,,,,,,0.62,CLR,Fair
1357657200,1357664400,49.0,40.0,71.0,29.32,,,,,,,0.62,CLR,Fair
1357668000,1357675200,45.0,38.0,77.0,29.35,,,,,,,0.62,CLR,Fair
1357678800,1357686000,44.0,39.0,85.0,29.35,,,,,,,0.62,SCT,Partly Cloudy
1357700400,1357707600,43.0,40.0,91.0,29.37,270.0,W,,7.0,,,0.31,FEW,Fair
1357722000,1357729200,69.0,,25.0,29.26,290.0,WNW,,14.0,,,1.0,CLR,Fair
1357732800,1357740000,64.0,38.0,39.0,29.25,290.0,WNW,,5.0,,,1.0,CLR,Fair
1357765200,1357772400,51.0,46.0,82.0,29.26,290.0,WNW,,6.0,,,0.62,CLR,Fair
1357776000,1357783200,49.0,42.0,79.0,29.23,270.0,W,,7.0,,,0.62,CLR,Fair
