valid_time,expire_time,temperature,dew_point,relative_humidity,pressure,wind_direction,wind_direction_cardinal,gust,wind_speed,precipitation_total,precipitation_hourly,visibility,clouds,weather_phrase
1640984400,1640996100,44,41.0,91.0,,,CALM,,0,,,0.62,25.0,Fog
1640995200,1641006900,42,40.0,91.0,,270.0,W,,2,,,0.62,,Fog
1641006000,1641017700,44,40.0,88.0,,290.0,WNW,,3,0.0,,0.31,,Fog
1641016800,1641028500,60,47.0,61.0,,320.0,NW,,5,,,0.62,0.0,Fair
1641027600,1641039300,68,50.0,52.0,,360.0,N,,3,,,0.62,,Fair
1641038400,1641050100,63,52.0,66.0,,,CALM,,0,,,0.62,,Fair
1641049200,1641060900,51,48.0,88.0,,,CALM,,0,,,0.31,,Fog
1641060000,1641071700,47,47.0,97.0,,,CALM,,0,,,0.31,,Fog
1641070800,1641082500,45,45.0,97.0,,,CALM,,0,,,0.31,,Fog
1641081600,1641093300,44,44.0,97.0,,320.0,NW,,3,,,0.31,,Fog
1641092400,1641104100,45,44.0,94.0,,,CALM,,0,0.0,,0.31,,Fog
1641103200,1641114900,61,50.0,67.0,,250.0,WSW,,2,,,0.31,,Fair
1641114000,1641125700,68,47.0,46.0,,340.0,NNW,,5,,,0.31,,Fair
1641124800,1641136500,64,52.0,65.0,,,CALM,,0,,,0.31,,Fair
1641135600,1641147300,54,51.0,91.0,,,CALM,,0,,,0.31,,Fog
1641146400,1641158100,50,47.0,92.0,,,CALM,,0,,,0.31,,Fog
1641157200,1641168900,50,47.0,92.0,,,CALM,,0,,,0.31,,Fog
1641168000,1641179700,45,44.0,97.0,,,CALM,,0,,,0.31,0.0,Fog
1641178800,1641190500,44,43.0,94.0,,270.0,W,,2,0.0,,0.12,25.0,Fog
1641189600,1641201300,64,48.0,56.0,,250.0,WSW,,2,,,0.31,25.0,Partly Cloudy
1641200400,1641212100,69,46.0,43.0,,320.0,NW,,6,,,0.62,25.0,Partly Cloudy
1641211200,1641222900,66,53.0,63.0,,,CALM,,0,,,0.62,,Fair
1641222000,1641233700,55,51.0,84.0,,,CALM,,0,,,0.31,37.5,Fog
1641232800,1641244500,54,51.0,88.0,,,CALM,,0,,,0.31,25.0,Fog
1641243600,1641255300,52,50.0,92.0,,,CALM,,0,,,0.31,37.5,Fog
1641254400,1641266100,49,47.0,95.0,,,CALM,,0,,,0.31,37.5,Fog
1641265200,1641276900,51,50.0,95.0,,,CALM,,0,0.0,,0.12,25.0,Fog
1641276000,1641287700,67,49.0,53.0,,320.0,NW,,2,,,0.31,37.5,Partly Cloudy
1641286800,1641298500,73,48.0,42.0,,340.0,NNW,,5,,,0.62,37.5,Mostly Cloudy
1641297600,1641309300,69,51.0,53.0,,,CALM,,0,,,0.31,50.0,Mostly Cloudy
1641308400,1641320100,61,55.0,79.0,,,CALM,,0,,,0.62,50.0,Mostly Cloudy
1641319200,1641330900,58,54.0,89.0,,340.0,NNW,,2,,,0.62,50.0,Mostly Cloudy
1641330000,1641341700,55,52.0,91.0,,340.0,NNW,,2,,,0.62,50.0,Mostly Cloudy
1641340800,1641352500,54,52.0,93.0,,,CALM,,0,,,0.62,50.0,Mostly Cloudy
1641351600,1641363300,55,53.0,96.0,,,CALM,,0,0.0,,0.12,62.5,Fog
1641362400,1641374100,58,57.0,96.0,,,CALM,,0,,,0.12,62.5,Rain Shower
1641373200,1641384900,59,58.0,96.0,,270.0,W,,5,,,0.12,62.5,Rain Shower
1641384000,1641395700,54,53.0,95.0,,270.0,W,,3,,,0.31,50.0,Fog
1641394800,1641406500,56,55.0,96.0,,160.0,SSE,,6,,,0.31,62.5,Rain Shower
1641405600,1641417300,56,55.0,96.0,,,CALM,,0,,,0.31,62.5,Fog
1641416400,1641428100,54,53.0,95.0,,270.0,W,,3,,,0.31,50.0,Fog
1641427200,1641438900,55,54.0,97.0,,270.0,W,,3,,,0.12,50.0,Fog
1641438000,1641449700,57,56.0,96.0,,340.0,NNW,,7,0.35,,0.12,50.0,Fog
1641448800,1641460500,65,56.0,73.0,,230.0,SW,,6,,,0.31,37.5,Fog
1641459600,1641471300,69,56.0,64.0,,340.0,NNW,,2,,,0.31,50.0,Mostly Cloudy
1641470400,1641482100,64,55.0,71.0,,320.0,NW,,5,,,0.31,50.0,Mostly Cloudy
1641481200,1641492900,60,57.0,89.0,,,CALM,,0,,,0.62,37.5,Mostly Cloudy
1641492000,1641503700,60,57.0,91.0,,320.0,NW,,5,,,0.62,50.0,Mostly Cloudy
1641502800,1641514500,59,57.0,93.0,,340.0,NNW,,7,,,0.62,50.0,Mostly Cloudy
1641513600,1641525300,57,56.0,97.0,,140.0,SE,,5,,,0.62,50.0,Mostly Cloudy
