valid_time,expire_time,temperature,dew_point,relative_humidity,pressure,wind_direction,wind_direction_cardinal,gust,wind_speed,precipitation_total,precipitation_hourly,visibility,clouds,weather_phrase
1577826000,1577837700,41.0,41.0,100.0,,,CALM,,0,,,0.31,25.0,Fog
1577836800,1577848500,38.0,38.0,100.0,,,CALM,,0,,,0.31,25.0,Fog
1577847600,1577859300,39.0,38.0,97.0,,70.0,ENE,,2,0.0,,0.12,25.0,Fog
1577858400,1577870100,60.0,53.0,77.0,,50.0,NE,,2,,,0.62,,Fair
1577869200,1577880900,68.0,49.0,49.0,,50.0,NE,,8,,,0.62,,Fair
1577880000,1577891700,63.0,55.0,74.0,,50.0,NE,,3,,,0.62,25.0,Fair
1577890800,1577902500,50.0,48.0,92.0,,,CALM,,0,,,0.62,25.0,Fair
1577901600,1577913300,47.0,46.0,97.0,,,CALM,,0,,,0.31,25.0,Fog
1577912400,1577924100,46.0,46.0,100.0,,,CALM,,0,,,0.12,25.0,Fog
1577923200,1577934900,42.0,42.0,99.0,,,CALM,,0,,,0.12,25.0,Fog
1577934000,1577945700,44.0,43.0,97.0,,,CALM,,0,0.0,,0.12,25.0,Fog
1577944800,1577956500,66.0,51.0,58.0,,70.0,ENE,,3,,,0.31,25.0,Fair
1577955600,1577967300,72.0,54.0,53.0,,50.0,NE,,5,,,0.62,37.5,Fair
1577966400,1577978100,68.0,57.0,69.0,,50.0,NE,,2,,,0.62,37.5,Fair
1577977200,1577988900,56.0,54.0,93.0,,,CALM,,0,,,0.62,50.0,Partly Cloudy
1577988000,1577999700,54.0,53.0,97.0,,,CALM,,0,,,0.62,25.0,Partly Cloudy
1577998800,1578010500,53.0,53.0,100.0,,,CALM,,0,,,0.62,25.0,Partly Cloudy
1578009600,1578021300,49.0,49.0,100.0,,,CALM,,0,,,0.31,25.0,Fog
1578020400,1578032100,48.0,48.0,100.0,,,CALM,,0,0.0,,0.31,,Fog
1578031200,1578042900,69.0,53.0,58.0,,90.0,E,,3,,,1.0,,Fair
1578042000,1578053700,72.0,55.0,55.0,,70.0,ENE,,5,,,1.0,,Fair
