valid_time,expire_time,temperature,dew_point,relative_humidity,pressure,wind_direction,wind_direction_cardinal,gust,wind_speed,precipitation_total,precipitation_hourly,visibility,clouds,weather_phrase
1388523600,1388530800,56.0,56,97.0,29.4,,,,,,,0.62,BKN,Mostly Cloudy
1388534400,1388541600,55.0,55,100.0,29.39,290.0,WNW,,2.0,,,0.62,OVC,Cloudy
1388545200,1388552400,53.0,53,100.0,29.43,270.0,W,,3.0,,,0.12,OVC,Cloudy
1388556000,1388563200,60.0,57,89.0,29.45,270.0,W,,6.0,,,0.12,CLR,Fair
1388566800,1388574000,64.0,57,78.0,29.38,320.0,NW,,7.0,,,0.62,SCT,Partly Cloudy
1388577600,1388584800,60.0,56,87.0,29.36,290.0,WNW,,5.0,,,0.62,BKN,Mostly Cloudy
1388588400,1388595600,55.0,52,88.0,29.4,270.0,W,,7.0,,,0.62,SCT,Partly Cloudy
1388599200,1388606400,50.0,50,97.0,29.41,290.0,WNW,,6.0,,,0.62,CLR,Fair
1388610000,1388617200,49.0,49,100.0,29.41,290.0,WNW,,2.0,,,0.31,CLR,Fair
1388620800,1388628000,44.0,44,100.0,29.39,270.0,W,,7.0,,,0.31,CLR,Fair
1388631600,1388638800,44.0,43,97.0,29.43,270.0,W,,9.0,,,0.12,CLR,Fair
1388642400,1388649600,58.0,46,63.0,29.44,250.0,WSW,,7.0,,,0.62,CLR,Fair
1388653200,1388660400,64.0,46,51.0,29.36,270.0,W,,9.0,,,1.0,CLR,Fair
1388664000,1388671200,60.0,51,73.0,29.34,270.0,W,,2.0,,,1.0,CLR,Fair
1388674800,1388682000,52.0,50,92.0,29.36,270.0,W,,3.0,,,0.62,CLR,Fair
1388685600,1388692800,47.0,45,92.0,29.35,270.0,W,,2.0,,,0.62,CLR,Fair
1388696400,1388703600,45.0,44,94.0,29.35,,,,,,,0.62,CLR,Fair
1388707200,1388714400,43.0,43,100.0,29.34,270.0,W,,8.0,,,0.62,CLR,Fair
1388718000,1388725200,44.0,40,88.0,29.38,,,,,,,0.62,CLR,Fair
1388728800,1388736000,62.0,44,53.0,29.37,270.0,W,,9.0,,,1.0,CLR,Fair
1388739600,1388746800,67.0,49,52.0,29.29,270.0,W,,7.0,,,1.0,CLR,Fair
1388750400,1388757600,63.0,51,65.0,29.27,250.0,WSW,,2.0,,,1.0,CLR,Fair
1388761200,1388768400,55.0,52,88.0,29.29,,,,,,,0.62,SCT,Partly Cloudy
1388772000,1388779200,53.0,52,97.0,29.29,,,,,,,0.62,BKN,Mostly Cloudy
1388782800,1388790000,53.0,53,100.0,29.27,,,,,,,0.31,BKN,Mostly Cloudy
1388793600,1388800800,47.0,47,100.0,29.28,,,,,,,0.31,CLR,Fair
1388804400,1388811600,49.0,49,100.0,29.32,,,,,,,0.31,SCT,Partly Cloudy
1388815200,1388822400,60.0,52,75.0,29.34,50.0,NE,,2.0,,,0.31,BKN,Mostly Cloudy
1388826000,1388833200,64.0,55,73.0,29.23,70.0,ENE,,3.0,,,0.31,SCT,Partly Cloudy
1388836800,1388844000,62.0,58,86.0,29.22,,,,,,,0.31,SCT,Partly Cloudy
1388847600,1388854800,55.0,54,97.0,29.24,,,,,,,0.31,SCT,Partly Cloudy
1388858400,1388865600,52.0,51,97.0,29.25,,,,,,,0.31,SCT,Partly Cloudy
1388869200,1388876400,50.0,50,97.0,29.24,,,,,,,0.12,OVC,Cloudy
1388880000,1388887200,49.0,49,100.0,29.22,,,,,,,0.12,OVC,Cloudy
1388890800,1388898000,49.0,48,97.0,29.26,,,,,,,0.12,OVC,Cloudy
1388901600,1388908800,62.0,56,81.0,29.25,290.0,WNW,,2.0,,,0.31,CLR,Fair
1388912400,1388919600,65.0,57,75.0,29.18,,,,,,,0.31,CLR,Fair
1388923200,1388930400,62.0,56,81.0,29.16,,,,,,,0.31,CLR,Fair
1388934000,1388941200,53.0,53,100.0,29.21,,,,,,,0.31,CLR,Fair
1388944800,1388952000,48.0,48,100.0,29.23,,,,,,,0.0,OVC,Cloudy
1388955600,1388962800,46.0,46,100.0,29.22,,,,,,,0.0,OVC,Cloudy
1388966400,1388973600,47.0,47,100.0,29.24,250.0,WSW,,6.0,,,0.12,OVC,Cloudy
1388977200,1388984400,47.0,47,100.0,29.31,270.0,W,,5.0,,,0.12,OVC,Cloudy
1388988000,1388995200,55.0,49,81.0,29.34,250.0,WSW,,3.0,,,0.31,CLR,Fair
1388998800,1389006000,63.0,51,65.0,29.28,270.0,W,,8.0,,,0.62,CLR,Fair
1389009600,1389016800,59.0,53,81.0,29.28,270.0,W,,2.0,,,0.62,CLR,Fair
1389020400,1389027600,49.0,49,100.0,29.32,,,,,,,0.62,CLR,Fair
1389031200,1389038400,47.0,47,97.0,29.33,230.0,SW,,3.0,,,0.31,CLR,Fair
1389042000,1389049200,,47,,29.3,,,,,,,0.31,FEW,Fair
1389052800,1389060000,,45,,29.3,,,,,,,0.12,FEW,Fair
1389063600,1389070800,45.0,45,97.0,29.33,270.0,W,,2.0,,,0.31,SCT,Partly Cloudy
1389074400,1389081600,60.0,48,63.0,29.34,250.0,WSW,,5.0,,,0.31,CLR,Fair
1389085200,1389092400,67.0,47,50.0,29.27,270.0,W,,7.0,,,0.62,CLR,Fair
1389096000,1389103200,64.0,46,53.0,29.28,290.0,WNW,,3.0,,,1.0,FEW,Fair
1389106800,1389114000,50.0,46,85.0,29.33,,,,,,,0.62,CLR,Fair
1389117600,1389124800,47.0,46,97.0,29.35,,,,,,,0.62,SCT,Partly Cloudy
1389128400,1389135600,44.0,44,100.0,29.33,,,,,,,0.31,CLR,Fair
1389139200,1389146400,42.0,42,100.0,29.33,,,,,,,0.31,CLR,Fair
1389150000,1389157200,43.0,43,100.0,29.37,,,,,,,0.31,FEW,Fair
1389160800,1389168000,64.0,49,56.0,29.35,200.0,SSW,,5.0,,,0.62,SCT,Partly Cloudy
1389171600,1389178800,69.0,48,47.0,29.25,160.0,SSE,,5.0,,,0.62,SCT,Partly Cloudy
1389182400,1389189600,64.0,50,60.0,29.27,,,,,,,1.0,SCT,Partly Cloudy
1389193200,1389200400,51.0,49,92.0,29.3,,,,,,,0.62,CLR,Fair
1389204000,1389211200,48.0,47,97.0,29.33,,,,,,,0.31,CLR,Fair
1389214800,1389222000,46.0,46,100.0,29.31,,,,,,,0.31,OVC,Cloudy
1389225600,1389232800,48.0,48,100.0,29.29,,,,,,,0.03,OVC,Cloudy
1389236400,1389243600,47.0,47,100.0,29.33,,,,,,,0.12,OVC,Cloudy
1389247200,1389254400,59.0,53,81.0,29.35,,,,,,,0.31,FEW,Fair
1389258000,1389265200,64.0,53,67.0,29.25,20.0,NNE,,5.0,,,0.31,FEW,Fair
1389268800,1389276000,61.0,54,79.0,29.23,,,,,,,0.31,FEW,Fair
1389279600,1389286800,52.0,51,97.0,29.29,,,,,,,0.31,CLR,Fair
1389312000,1389319200,45.0,45,100.0,29.28,,,,,,,0.12,OVC,Cloudy
1389322800,1389330000,44.0,43,97.0,29.31,,,,,,,0.12,CLR,Fair
1389333600,1389340800,59.0,51,76.0,29.31,,,,,,,0.31,CLR,Fair
1389344400,1389351600,68.0,58,71.0,29.23,,,,,,,0.31,CLR,Fair
1389355200,1389362400,62.0,56,79.0,29.22,,,,,,,0.12,CLR,Fair
1389366000,1389373200,54.0,54,100.0,29.26,,,,,,,0.12,CLR,Fair
1389376800,1389384000,51.0,51,100.0,29.3,,,,,,,0.12,CLR,Fair
1389387600,1389394800,50.0,48,92.0,29.29,,,,,,,0.12,CLR,Fair
1389398400,1389405600,46.0,46,100.0,29.3,270.0,W,,6.0,,,0.12,CLR,Fair
1389409200,1389416400,47.0,47,100.0,29.34,270.0,W,,6.0,,,0.12,CLR,Fair
1389420000,1389427200,57.0,50,77.0,29.37,290.0,WNW,,9.0,,,0.31,CLR,Fair
1389430800,1389438000,64.0,49,58.0,29.31,290.0,WNW,,9.0,,,1.0,CLR,Fair
1389441600,1389448800,62.0,53,72.0,29.33,270.0,W,,3.0,,,0.62,FEW,Fair
1389452400,1389459600,53.0,51,91.0,29.39,,,,,,,0.62,CLR,Fair
1389463200,1389470400,51.0,50,95.0,29.41,,,,,,,0.31,CLR,Fair
1389474000,1389481200,48.0,48,100.0,29.41,,,,,,,0.31,CLR,Fair
1389484800,1389492000,46.0,46,100.0,29.41,,,,,,,0.31,CLR,Fair
1389495600,1389502800,46.0,46,100.0,29.46,270.0,W,,2.0,,,0.31,CLR,Fair
1389506400,1389513600,63.0,51,66.0,29.44,290.0,WNW,,3.0,,,0.62,SCT,Partly Cloudy
1389517200,1389524400,67.0,52,58.0,29.35,230.0,SW,,5.0,,,0.62,FEW,Fair
1389528000,1389535200,65.0,54,68.0,29.35,270.0,W,,6.0,,,0.62,FEW,Fair
1389538800,1389546000,55.0,53,93.0,29.4,,,,,,,0.62,CLR,Fair
1389549600,1389556800,50.0,49,97.0,29.4,,,,,,,0.62,CLR,Fair
1389560400,1389567600,48.0,48,100.0,29.38,,,,,,,0.12,OVC,Cloudy
1389571200,1389578400,47.0,47,100.0,29.38,,,,,,,0.12,OVC,Cloudy
1389582000,1389589200,47.0,46,97.0,29.41,,,,,,,0.31,BKN,Mostly Cloudy
1389592800,1389600000,64.0,49,58.0,29.41,,,,,,,0.62,SCT,Partly Cloudy
1389603600,1389610800,70.0,46,42.0,29.33,270.0,W,,6.0,,,0.62,SCT,Partly Cloudy
1389614400,1389621600,65.0,48,54.0,29.33,,,,,,,0.62,BKN,Mostly Cloudy
1389625200,1389632400,58.0,51,80.0,29.35,,,,,,,0.62,BKN,Mostly Cloudy
1389636000,1389643200,53.0,51,92.0,29.35,,,,,,,0.62,BKN,Mostly Cloudy
1389646800,1389654000,51.0,50,97.0,29.35,,,,,,,0.62,BKN,Mostly Cloudy
1389657600,1389664800,50.0,50,100.0,29.3,,,,,,,0.31,BKN,Mostly Cloudy
1389668400,1389675600,50.0,49,95.0,29.35,,,,,,,0.12,SCT,Partly Cloudy
1389679200,1389686400,65.0,51,60.0,29.35,,,,,,,0.62,CLR,Fair
1389690000,1389697200,71.0,46,41.0,29.24,320.0,NW,,2.0,,,1.0,CLR,Fair
1389700800,1389708000,67.0,53,61.0,29.22,,,,,,,1.0,SCT,Partly Cloudy
1389711600,1389718800,60.0,58,96.0,29.27,140.0,SE,,3.0,,,0.62,CLR,Fair
1389722400,1389729600,56.0,55,97.0,29.3,140.0,SE,,3.0,,,0.62,CLR,Fair
1389733200,1389740400,53.0,53,100.0,29.31,90.0,E,,5.0,,,0.31,CLR,Fair
1389744000,1389751200,53.0,53,100.0,29.32,,,,,,,0.31,CLR,Fair
1389754800,1389762000,53.0,53,100.0,29.37,,,,,,,0.12,OVC,Cloudy
1389765600,1389772800,54.0,52,93.0,29.41,,,,,,,0.12,OVC,Cloudy
1389776400,1389783600,58.0,55,89.0,29.34,,,,,,,0.31,BKN,Mostly Cloudy
1389787200,1389794400,59.0,55,85.0,29.33,,,,,,,0.31,OVC,Cloudy
1389798000,1389805200,52.0,50,95.0,29.39,,,,,,,0.31,CLR,Fair
1389808800,1389816000,49.0,49,100.0,29.4,,,,,,,0.12,CLR,Fair
1389819600,1389826800,51.0,51,100.0,29.37,290.0,WNW,,2.0,,,0.0,OVC,Cloudy
1389830400,1389837600,52.0,52,100.0,29.36,340.0,NNW,,5.0,,,0.31,OVC,Cloudy
1389841200,1389848400,51.0,51,97.0,29.41,250.0,WSW,,2.0,,,0.31,OVC,Cloudy
1389852000,1389859200,59.0,52,79.0,29.4,,,,,,,0.31,CLR,Fair
1389873600,1389880800,60.0,55,85.0,29.32,,,,,,,0.31,SCT,Partly Cloudy
1389884400,1389891600,55.0,53,96.0,29.36,,,,,,,0.31,CLR,Fair
1389895200,1389902400,52.0,51,97.0,29.36,,,,,,,0.31,BKN,Mostly Cloudy
1389906000,1389913200,50.0,50,97.0,29.35,,,,,,,0.12,OVC,Cloudy
1389916800,1389924000,49.0,49,100.0,29.33,,,,,,,0.12,OVC,Cloudy
1389927600,1389934800,53.0,53,100.0,29.37,,,,,,,0.12,OVC,Cloudy
1389938400,1389945600,54.0,52,91.0,29.4,110.0,ESE,,6.0,,,0.62,OVC,Cloudy
1389949200,1389956400,55.0,53,93.0,29.29,,,,,,,0.62,OVC,Cloudy
1389960000,1389967200,55.0,54,96.0,29.24,,,,,,,0.31,OVC,Cloudy
