valid_time,expire_time,temperature,dew_point,relative_humidity,pressure,wind_direction,wind_direction_cardinal,gust,wind_speed,precipitation_total,precipitation_hourly,visibility,clouds,weather_phrase
1451595600,1451607300,48.0,48.0,100.0,,,,,,,,0.62,12.5,Fair
1451606400,1451618100,47.0,47.0,100.0,,,,,,,,0.62,25.0,Fair
1451617200,1451628900,49.0,48.0,95.0,,,,,,,,0.12,25.0,Fog
1451628000,1451639700,68.0,54.0,61.0,,340.0,NNW,,2.0,,,0.62,37.5,Fair
1451638800,1451650500,74.0,50.0,42.0,,340.0,NNW,,2.0,,,1.0,25.0,Partly Cloudy
1451649600,1451661300,69.0,53.0,57.0,,,,,,,,0.62,,Fair
1451671200,1451682900,52.0,50.0,92.0,,,,,,,,0.31,,Fog
1451682000,1451693700,50.0,49.0,95.0,,,,,,,,0.31,,Fog
1451692800,1451704500,48.0,47.0,97.0,,,,,,,,0.31,,Fog
1451703600,1451715300,48.0,47.0,97.0,,,,,,,,0.31,,Fog
1451714400,1451726100,68.0,52.0,56.0,,,,,,,,0.62,,Fair
1451725200,1451736900,71.0,52.0,50.0,,290.0,WNW,,7.0,,,0.62,0.0,Fair
1451736000,1451747700,68.0,54.0,61.0,,290.0,WNW,,3.0,,,0.62,0.0,Fair
1451746800,1451758500,55.0,51.0,86.0,,,,,,,,1.0,12.5,Fair
1451757600,1451769300,50.0,50.0,97.0,,,,,,,,0.62,12.5,Fair
1451768400,1451780100,49.0,49.0,100.0,,,,,,,,0.62,,Fog
1451779200,1451790900,49.0,49.0,100.0,,270.0,W,,1.0,,,0.12,,Fog
1451790000,1451801700,51.0,50.0,97.0,,270.0,W,,5.0,,,0.12,,Fog
1451800800,1451812500,64.0,53.0,67.0,,290.0,WNW,,6.0,,,0.62,,Fair
1451811600,1451823300,72.0,50.0,45.0,,290.0,WNW,,8.0,,,0.62,0.0,Fair
1451822400,1451834100,69.0,53.0,56.0,,270.0,W,,3.0,,,1.0,,Fair
1451833200,1451844900,55.0,51.0,88.0,,270.0,W,,2.0,,,1.0,,Fair
1451844000,1451855700,52.0,50.0,92.0,,,,,,,,1.0,,Fair
1451854800,1451866500,51.0,49.0,92.0,,,,,,,,0.62,,Fog
1451865600,1451877300,49.0,47.0,95.0,,,,,,,,0.62,,Fog
1451876400,1451888100,49.0,48.0,97.0,,,,,,,,0.12,0.0,Fog
1451887200,1451898900,67.0,54.0,62.0,,,,,,,,0.31,25.0,Fair
1451898000,1451909700,73.0,55.0,53.0,,,,,,,,0.62,37.5,Partly Cloudy
1451908800,1451920500,68.0,58.0,71.0,,,,,,,,0.31,25.0,Fair
1451919600,1451931300,59.0,57.0,93.0,,,,,,,,0.31,25.0,Fog
1451930400,1451942100,59.0,57.0,93.0,,,,,,,,0.31,37.5,Fog
1451941200,1451952900,58.0,56.0,91.0,,,,,,,,0.31,37.5,Partly Cloudy
1451952000,1451963700,55.0,54.0,97.0,,,,,,,,0.31,25.0,Fog
1451962800,1451974500,53.0,53.0,97.0,,,,,,,,0.12,37.5,Fog
1451973600,1451985300,73.0,56.0,56.0,,140.0,SE,,2.0,,,0.62,25.0,Partly Cloudy
1451995200,1452006900,73.0,63.0,71.0,,110.0,ESE,,2.0,,,0.62,12.5,Fair
1452006000,1452017700,62.0,59.0,91.0,,,,,,,,0.62,25.0,Fair
1452016800,1452028500,60.0,58.0,96.0,,,,,,,,0.31,37.5,Fog
1452038400,1452050100,55.0,55.0,100.0,,,,,,,,0.31,12.5,Fog
1452049200,1452060900,54.0,53.0,95.0,,,,,,,,0.31,37.5,Fog
1452060000,1452071700,71.0,58.0,65.0,,90.0,E,,5.0,,,0.62,25.0,Fair
1452070800,1452082500,76.0,62.0,62.0,,110.0,ESE,,7.0,,,0.62,50.0,Partly Cloudy
1452081600,1452093300,71.0,63.0,75.0,,,,,,,,0.62,25.0,Partly Cloudy
1452092400,1452104100,63.0,61.0,92.0,,,,,,,,0.31,25.0,Partly Cloudy
1452103200,1452114900,60.0,60.0,98.0,,,,,,,,0.31,37.5,Fog
1452114000,1452125700,57.0,56.0,97.0,,,,,,,,0.12,25.0,Fog
1452124800,1452136500,54.0,54.0,100.0,,,,,,,,0.12,25.0,Fog
1452135600,1452147300,56.0,56.0,97.0,,,,,,,,0.12,37.5,Fog
1452146400,1452158100,69.0,62.0,78.0,,,,,,,,0.31,25.0,Fog
1452157200,1452168900,75.0,64.0,67.0,,,,,,,,0.62,25.0,Partly Cloudy
1452168000,1452179700,69.0,64.0,85.0,,,,,,,,0.31,25.0,Fog
1452178800,1452190500,61.0,59.0,94.0,,,,,,,,0.31,37.5,Fog
1452189600,1452201300,60.0,59.0,98.0,,,,,,,,0.31,25.0,Fog
1452200400,1452212100,59.0,58.0,97.0,,,,,,,,0.12,25.0,Fog
1452211200,1452222900,56.0,56.0,100.0,,,,,,,,0.12,25.0,Fog
1452222000,1452233700,57.0,57.0,100.0,,270.0,W,,5.0,,,0.0,100.0,Fog
1452232800,1452244500,60.0,59.0,98.0,,230.0,SW,,6.0,,,0.03,100.0,Fog
1452243600,1452255300,70.0,52.0,52.0,,320.0,NW,,8.0,,,0.31,25.0,Partly Cloudy
1452254400,1452266100,66.0,58.0,74.0,,290.0,WNW,,2.0,,,0.62,,Fair
1452265200,1452276900,60.0,57.0,87.0,,250.0,WSW,,7.0,,,0.62,,Fair
1452276000,1452287700,57.0,54.0,91.0,,250.0,WSW,,6.0,,,0.62,,Fair
1452286800,1452298500,54.0,52.0,93.0,,270.0,W,,6.0,,,0.62,,Fair
1452297600,1452309300,53.0,50.0,90.0,,270.0,W,,5.0,,,0.62,,Fair
1452308400,1452320100,52.0,50.0,95.0,,270.0,W,,6.0,,,0.12,,Fog
1452319200,1452330900,66.0,50.0,56.0,,290.0,WNW,,9.0,,,1.0,,Fair
1452330000,1452341700,72.0,48.0,43.0,,290.0,WNW,,13.0,,,1.0,,Fair
1452340800,1452352500,68.0,49.0,51.0,,270.0,W,,5.0,,,1.0,0.0,Fair
1452351600,1452363300,59.0,52.0,79.0,,,,,,,,1.0,,Fair
1452362400,1452374100,53.0,51.0,92.0,,,,,,,,0.62,,Fair
1452384000,1452395700,50.0,49.0,95.0,,,,,,,,0.62,,Fair
1452394800,1452406500,50.0,49.0,95.0,,,,,,,,0.62,12.5,Fair
1452405600,1452417300,69.0,53.0,55.0,,250.0,WSW,,5.0,,,1.0,0.0,Fair
1452416400,1452428100,76.0,56.0,51.0,,250.0,WSW,,7.0,,,1.0,,Fair
1452427200,1452438900,71.0,57.0,62.0,,320.0,NW,,2.0,,,1.0,,Fair
1452438000,1452449700,58.0,55.0,89.0,,,,,,,,1.0,,Fair
1452448800,1452460500,55.0,53.0,93.0,,,,,,,,0.62,,Fair
1452459600,1452471300,51.0,50.0,97.0,,,,,,,,0.12,,Fog
1452470400,1452482100,49.0,49.0,97.0,,,,,,,,0.12,,Fog
1452481200,1452492900,49.0,49.0,97.0,,,,,,,,0.31,,Fog
1452492000,1452503700,72.0,59.0,64.0,,,,,,,,0.62,,Fair
1452502800,1452514500,77.0,51.0,39.0,,250.0,WSW,,6.0,,,1.0,,Fair
1452513600,1452525300,71.0,54.0,55.0,,320.0,NW,,2.0,,,1.0,,Fair
1452524400,1452536100,57.0,55.0,91.0,,,,,,,,1.0,,Fair
1452535200,1452546900,53.0,51.0,95.0,,,,,,,,1.0,,Fair
1452546000,1452557700,51.0,50.0,95.0,,,,,,,,0.62,,Fair
1452556800,1452568500,49.0,48.0,97.0,,,,,,,,0.62,,Fair
1452567600,1452579300,50.0,49.0,95.0,,,,,,,,0.31,,Fog
1452578400,1452590100,73.0,55.0,54.0,,140.0,SE,,3.0,,,0.62,,Fair
1452589200,1452600900,76.0,57.0,51.0,,110.0,ESE,,9.0,,,1.0,,Fair
1452600000,1452611700,72.0,57.0,60.0,,140.0,SE,,5.0,,,1.0,,Fair
1452610800,1452622500,61.0,56.0,83.0,,,,,,,,1.0,,Fair
1452621600,1452633300,56.0,54.0,93.0,,,,,,,,1.0,,Fair
1452632400,1452644100,55.0,54.0,96.0,,90.0,E,,3.0,,,0.62,25.0,Partly Cloudy
1452643200,1452654900,58.0,56.0,96.0,,90.0,E,,3.0,,,0.62,12.5,Fair
1452654000,1452665700,60.0,56.0,87.0,,110.0,ESE,,5.0,,,0.31,37.5,Mostly Cloudy
1452664800,1452676500,70.0,57.0,65.0,,140.0,SE,,3.0,,,0.62,25.0,Partly Cloudy
1452675600,1452687300,73.0,57.0,59.0,,,,,,,,0.62,25.0,Partly Cloudy
1452686400,1452698100,66.0,59.0,77.0,,270.0,W,,2.0,,,0.31,37.5,Fog
1452697200,1452708900,62.0,58.0,90.0,,290.0,WNW,,3.0,,,0.31,37.5,Fog
1452708000,1452719700,59.0,58.0,96.0,,290.0,WNW,,3.0,,,0.12,100.0,Fog
1452718800,1452730500,57.0,56.0,96.0,,320.0,NW,,3.0,,,0.12,100.0,Fog
1452729600,1452741300,58.0,56.0,93.0,,290.0,WNW,,5.0,,,0.31,100.0,Fog
1452740400,1452752100,58.0,54.0,89.0,,230.0,SW,,6.0,,,0.31,100.0,Fog
1452751200,1452762900,61.0,55.0,81.0,,290.0,WNW,,3.0,,,0.62,100.0,Fog
1452762000,1452773700,65.0,55.0,69.0,,320.0,NW,,2.0,,,0.31,37.5,Mostly Cloudy
1452772800,1452784500,62.0,56.0,79.0,,320.0,NW,,3.0,,,0.31,50.0,Fog
1452783600,1452795300,58.0,55.0,91.0,,,,,,,,0.62,37.5,Mostly Cloudy
1452794400,1452806100,54.0,53.0,97.0,,,,,,,,0.31,37.5,Fog
1452805200,1452816900,51.0,50.0,97.0,,,,,,,,0.12,37.5,Fog
1452816000,1452827700,51.0,51.0,100.0,,320.0,NW,,5.0,,,0.12,,Fog
1452826800,1452838500,53.0,52.0,95.0,,320.0,NW,,5.0,,,0.31,100.0,Fog
1452837600,1452849300,55.0,52.0,88.0,,270.0,W,,7.0,,,0.31,100.0,Fog
1452848400,1452860100,59.0,50.0,72.0,,270.0,W,,8.0,,,0.62,37.5,Mostly Cloudy
1452859200,1452870900,58.0,51.0,78.0,,320.0,NW,,7.0,,,0.62,25.0,Partly Cloudy
1452870000,1452881700,54.0,50.0,86.0,,320.0,NW,,6.0,,,0.62,37.5,Partly Cloudy
1452880800,1452892500,55.0,53.0,93.0,,270.0,W,,7.0,,,0.62,37.5,Mostly Cloudy
1452891600,1452903300,54.0,53.0,95.0,,290.0,WNW,,5.0,,,0.62,37.5,Mostly Cloudy
1452902400,1452914100,53.0,51.0,95.0,,290.0,WNW,,6.0,,,0.62,25.0,Partly Cloudy
1452913200,1452924900,54.0,49.0,85.0,,320.0,NW,,9.0,,,0.62,37.5,Mostly Cloudy
1452924000,1452935700,55.0,49.0,79.0,,290.0,WNW,,12.0,,,0.62,100.0,Cloudy
1452934800,1452946500,62.0,52.0,69.0,,320.0,NW,,6.0,,,0.62,25.0,Fair
1452945600,1452957300,60.0,53.0,79.0,,290.0,WNW,,5.0,,,0.62,25.0,Fair
1452956400,1452968100,55.0,53.0,91.0,,320.0,NW,,2.0,,,0.31,,Fair
1452967200,1452978900,53.0,52.0,95.0,,320.0,NW,,5.0,,,0.31,37.5,Mostly Cloudy
1452978000,1452989700,51.0,50.0,97.0,,290.0,WNW,,2.0,,,0.12,,Fog
1452988800,1453000500,52.0,50.0,92.0,,,,,,,,0.31,37.5,Fair
1452999600,1453011300,53.0,49.0,88.0,,,,,,,,0.31,37.5,Fog
1453010400,1453022100,61.0,51.0,69.0,,110.0,ESE,,2.0,,,0.62,25.0,Fog
1453021200,1453032900,65.0,51.0,59.0,,360.0,N,,2.0,,,0.62,0.0,Fair
1453032000,1453043700,63.0,56.0,76.0,,110.0,ESE,,2.0,,,0.62,,Fair
1453042800,1453054500,54.0,52.0,93.0,,,,,,,,0.31,,Fair
1453053600,1453065300,50.0,49.0,95.0,,,,,,,,0.31,,Fog
1453064400,1453076100,49.0,48.0,97.0,,,,,,,,0.12,,Fog
1453075200,1453086900,45.0,45.0,97.0,,,,,,,,0.12,,Fog
1453086000,1453097700,46.0,45.0,97.0,,,,,,,,0.31,,Fog
1453096800,1453108500,62.0,52.0,69.0,,,,,,,,0.62,,Fair
1453107600,1453119300,65.0,52.0,62.0,,320.0,NW,,5.0,,,0.31,,Fair
1453118400,1453130100,63.0,53.0,72.0,,,,,,,,0.62,,Fair
1453129200,1453140900,54.0,51.0,88.0,,,,,,,,0.62,,Fair
1453140000,1453151700,51.0,49.0,95.0,,,,,,,,0.31,,Fog
1453150800,1453162500,49.0,48.0,97.0,,,,,,,,0.12,,Fog
1453161600,1453173300,49.0,48.0,97.0,,290.0,WNW,,5.0,,,0.12,100.0,Fog
1453172400,1453184100,51.0,50.0,97.0,,,,,,,,0.12,100.0,Fog
1453183200,1453194900,55.0,51.0,88.0,,360.0,N,,6.0,,,0.12,100.0,Fog
1453194000,1453205700,59.0,53.0,81.0,,,,,,,,0.12,37.5,Fog
1453204800,1453216500,58.0,54.0,87.0,,,,,,,,0.12,,Fog
1453215600,1453227300,53.0,51.0,95.0,,270.0,W,,6.0,,,0.62,12.5,Fair
1453226400,1453238100,50.0,48.0,95.0,,290.0,WNW,,3.0,,,0.62,,Fair
1453237200,1453248900,52.0,51.0,95.0,,50.0,NE,,3.0,,,0.62,,Fair
1453248000,1453259700,51.0,50.0,95.0,,270.0,W,,3.0,,,0.62,,Fair
1453258800,1453270500,51.0,50.0,97.0,,290.0,WNW,,3.0,,,0.31,100.0,Fog
1453269600,1453281300,53.0,48.0,83.0,,270.0,W,,3.0,,,0.31,100.0,Fog
1453280400,1453292100,59.0,49.0,70.0,,290.0,WNW,,6.0,,,0.62,,Fair
1453291200,1453302900,57.0,51.0,80.0,,290.0,WNW,,3.0,,,0.31,,Fog
1453302000,1453313700,51.0,49.0,95.0,,270.0,W,,2.0,,,0.62,,Fair
1453312800,1453324500,46.0,45.0,97.0,,,,,,,,0.62,,Fair
1453323600,1453335300,49.0,49.0,97.0,,320.0,NW,,5.0,,,0.62,,Fair
1453334400,1453346100,48.0,46.0,95.0,,270.0,W,,8.0,,,0.62,,Fair
1453345200,1453356900,48.0,44.0,87.0,,290.0,WNW,,6.0,,,0.31,37.5,Fog
1453356000,1453367700,54.0,46.0,74.0,,290.0,WNW,,5.0,,,0.62,,Fair
1453366800,1453378500,62.0,47.0,58.0,,270.0,W,,8.0,,,1.0,,Fair
1453377600,1453389300,60.0,49.0,67.0,,320.0,NW,,5.0,,,0.62,,Fair
1453388400,1453400100,50.0,47.0,90.0,,,,,,,,0.62,,Fair
1453399200,1453410900,46.0,45.0,97.0,,,,,,,,0.31,,Fog
1453410000,1453421700,44.0,44.0,97.0,,,,,,,,0.31,,Fog
1453420800,1453432500,42.0,42.0,100.0,,,,,,,,0.12,100.0,Fog
1453431600,1453443300,47.0,46.0,97.0,,110.0,ESE,,2.0,,,0.12,100.0,Fog
1453442400,1453454100,56.0,48.0,73.0,,110.0,ESE,,2.0,,,0.31,,Fair
1453453200,1453464900,62.0,53.0,72.0,,70.0,ENE,,5.0,,,0.31,,Fair
1453464000,1453475700,60.0,53.0,79.0,,110.0,ESE,,3.0,,,0.31,,Fair
1453474800,1453486500,53.0,51.0,95.0,,,,,,,,0.62,,Fair
1453485600,1453497300,49.0,48.0,97.0,,,,,,,,0.62,,Fair
1453496400,1453508100,45.0,44.0,97.0,,,,,,,,0.31,,Fog
1453507200,1453518900,42.0,42.0,97.0,,,,,,,,0.31,,Fog
1453518000,1453529700,46.0,46.0,100.0,,140.0,SE,,2.0,,,0.12,,Fog
