valid_time,expire_time,temperature,dew_point,relative_humidity,pressure,wind_direction,wind_direction_cardinal,gust,wind_speed,precipitation_total,precipitation_hourly,visibility,clouds,weather_phrase
1609448400,1609460100,42.0,42.0,100.0,,,CALM,,0,,,0.31,37.5,Fog
1609459200,1609470900,37.0,37.0,100.0,,,CALM,,0,,,0.12,25.0,Fog
1609470000,1609481700,38.0,37.0,97.0,,,CALM,,0,0.0,,0.12,,Fog
1609480800,1609492500,59.0,49.0,68.0,,90.0,E,,3,,,0.12,,Fog
1609491600,1609503300,65.0,50.0,57.0,,50.0,NE,,7,,,0.31,,Fair
1609502400,1609514100,61.0,52.0,73.0,,70.0,ENE,,2,,,0.31,,Fair
1609513200,1609524900,52.0,49.0,90.0,,,CALM,,0,,,0.31,,Fog
1609524000,1609535700,48.0,48.0,100.0,,,CALM,,0,,,0.31,,Fog
1609534800,1609546500,45.0,45.0,100.0,,,CALM,,0,,,0.31,,Fog
1609545600,1609557300,47.0,47.0,100.0,,340.0,NNW,,2,,,0.31,25.0,Fog
1609556400,1609568100,52.0,52.0,100.0,,70.0,ENE,,5,0.0,,0.12,87.5,Fog
1609567200,1609578900,56.0,54.0,93.0,,20.0,NNE,,2,,,0.31,87.5,Fog
1609578000,1609589700,,49.0,,,10.0,N,,104,,,0.62,50.0,Fair / Windy
1609588800,1609600500,62.0,52.0,69.0,,70.0,ENE,,3,,,0.62,50.0,Mostly Cloudy
1609599600,1609611300,58.0,52.0,82.0,,110.0,ESE,,3,,,0.62,37.5,Partly Cloudy
1609610400,1609622100,55.0,52.0,88.0,,90.0,E,,2,,,0.62,37.5,Partly Cloudy
1609621200,1609632900,50.0,48.0,92.0,,70.0,ENE,,3,,,0.62,37.5,Partly Cloudy
1609632000,1609643700,51.0,49.0,95.0,,50.0,NE,,3,,,0.62,50.0,Mostly Cloudy
1609642800,1609654500,54.0,54.0,100.0,,50.0,NE,,7,0.98,,0.62,50.0,Thunder
1609653600,1609665300,57.0,57.0,100.0,,110.0,ESE,,6,,,0.31,62.5,Thunder
