valid_time,expire_time,temperature,dew_point,relative_humidity,pressure,wind_direction,wind_direction_cardinal,gust,wind_speed,precipitation_total,precipitation_hourly,visibility,clouds,weather_phrase
1546290000,1546301700,44.0,44.0,100.0,,,CALM,,0.0,,,0.31,,Fog
1546300800,1546312500,42.0,41.0,99.0,,,CALM,,0.0,,,0.31,,Fog
1546311600,1546323300,43.0,43.0,100.0,,230.0,SW,,2.0,,,0.31,,Fog
1546322400,1546334100,67.0,49.0,53.0,,250.0,WSW,,6.0,,,0.62,,Fair
1546333200,1546344900,73.0,49.0,44.0,,290.0,WNW,,2.0,,,1.0,0.0,Fair
1546344000,1546355700,69.0,53.0,56.0,,,CALM,,0.0,,,1.0,0.0,Fair
1546354800,1546366500,53.0,50.0,90.0,,,CALM,,0.0,,,1.0,25.0,Fair
1546365600,1546377300,49.0,49.0,97.0,,,CALM,,0.0,,,0.62,25.0,Fair
1546376400,1546388100,46.0,45.0,97.0,,,CALM,,0.0,,,0.62,25.0,Fair
1546387200,1546398900,45.0,45.0,97.0,,,CALM,,0.0,,,0.31,25.0,Fog
1546398000,1546409700,47.0,44.0,86.0,,,CALM,,0.0,,,0.31,,Fog
1546408800,1546420500,68.0,53.0,60.0,,,CALM,,0.0,,,0.62,,Fog
1546419600,1546431300,73.0,54.0,50.0,,200.0,SSW,,2.0,,,1.0,,Fair
1546430400,1546442100,67.0,58.0,72.0,,,CALM,,0.0,,,1.0,,Fair
1546441200,1546452900,56.0,54.0,93.0,,,CALM,,0.0,,,0.62,,Fair
1546452000,1546463700,50.0,50.0,100.0,,,CALM,,0.0,,,0.62,,Fair
1546462800,1546474500,47.0,47.0,100.0,,200.0,SSW,,2.0,,,0.31,,Fog
1546473600,1546485300,46.0,46.0,100.0,,200.0,SSW,,2.0,,,0.12,,Fog
1546484400,1546496100,48.0,48.0,100.0,,,CALM,,0.0,,,0.12,,Fog
1546495200,1546506900,62.0,53.0,72.0,,270.0,W,,5.0,,,0.31,,Fair
1546506000,1546517700,68.0,52.0,56.0,,290.0,WNW,,14.0,,,0.62,,Fair
1546516800,1546528500,64.0,53.0,65.0,,270.0,W,,6.0,,,0.62,,Fair
1546527600,1546539300,56.0,53.0,88.0,,270.0,W,,5.0,,,0.62,,Fair
1546538400,1546550100,53.0,53.0,97.0,,,CALM,,0.0,,,0.31,,Fog
1546549200,1546560900,52.0,52.0,100.0,,270.0,W,,5.0,,,0.31,,Fog
1546560000,1546571700,47.0,47.0,100.0,,270.0,W,,16.0,,,0.12,,Fog
1546570800,1546582500,48.0,48.0,100.0,,250.0,WSW,,2.0,,,0.12,,Fog
1546581600,1546593300,58.0,52.0,80.0,,270.0,W,,2.0,,,0.31,25.0,Fog
1546592400,1546604100,65.0,53.0,66.0,,320.0,NW,,2.0,,,0.62,25.0,Fair
1546603200,1546614900,61.0,53.0,75.0,,,CALM,,0.0,,,0.62,37.5,Mostly Cloudy
1546614000,1546625700,54.0,52.0,91.0,,,CALM,,0.0,,,0.62,25.0,Partly Cloudy
1546624800,1546636500,51.0,50.0,97.0,,220.0,SW,,2.0,,,0.31,12.5,Fog
1546635600,1546647300,47.0,47.0,100.0,,,CALM,,0.0,,,0.31,25.0,Fog
1546646400,1546658100,45.0,45.0,100.0,,,CALM,,0.0,,,0.31,12.5,Fog
1546657200,1546668900,46.0,46.0,100.0,,90.0,E,,2.0,,,0.62,25.0,Fog
1546668000,1546679700,65.0,53.0,64.0,,110.0,ESE,,9.0,,,0.62,25.0,Fair
1546678800,1546690500,70.0,53.0,55.0,,140.0,SE,,14.0,,,1.0,,Fair
1546689600,1546701300,65.0,56.0,71.0,,90.0,E,,2.0,,,1.0,25.0,Fair
1546700400,1546712100,53.0,51.0,95.0,,,CALM,,0.0,,,1.0,37.5,Partly Cloudy
1546711200,1546722900,52.0,51.0,95.0,,90.0,E,,2.0,,,0.62,37.5,Mostly Cloudy
1546722000,1546733700,50.0,50.0,97.0,,110.0,ESE,,2.0,,,0.62,37.5,Mostly Cloudy
1546732800,1546744500,55.0,54.0,97.0,,250.0,WSW,,2.0,0.03,,1.0,37.5,Mostly Cloudy
1546743600,1546755300,53.0,53.0,100.0,,320.0,NW,,5.0,,,0.31,50.0,Cloudy
1546754400,1546766100,59.0,55.0,87.0,,20.0,NNE,,6.0,0.08,,0.62,12.5,Fair
1546765200,1546776900,67.0,58.0,74.0,,50.0,NE,,3.0,,,1.0,12.5,Fair
1546776000,1546787700,63.0,59.0,86.0,,,CALM,,0.0,0.08,,0.62,25.0,Fair
1546786800,1546798500,56.0,55.0,99.0,,290.0,WNW,,2.0,,,0.62,25.0,Fair
1546797600,1546809300,53.0,51.0,92.0,,,CALM,,0.0,,,0.62,25.0,Fair
1546808400,1546820100,50.0,50.0,97.0,,270.0,W,,3.0,,,0.62,25.0,Fog
1546819200,1546830900,50.0,49.0,97.0,,270.0,W,,2.0,0.08,,0.31,25.0,Fog
1546830000,1546841700,49.0,49.0,100.0,,250.0,WSW,,2.0,,,0.12,,Fog
1546840800,1546852500,62.0,55.0,78.0,,270.0,W,,6.0,,,0.31,,Fog
1546851600,1546863300,68.0,56.0,66.0,,340.0,NNW,,3.0,,,0.62,,Fair
1546862400,1546874100,64.0,57.0,78.0,,,CALM,,0.0,,,1.0,,Fair
1546873200,1546884900,53.0,53.0,100.0,,270.0,W,,2.0,,,0.62,,Fair
1546884000,1546895700,51.0,49.0,92.0,,270.0,W,,2.0,,,0.62,,Fair
1546894800,1546906500,50.0,50.0,97.0,,,CALM,,0.0,,,0.31,,Fog
1546905600,1546917300,47.0,47.0,100.0,,270.0,W,,2.0,,,0.31,,Fog
1546916400,1546928100,50.0,50.0,100.0,,270.0,W,,2.0,,,0.12,25.0,Fog
1546927200,1546938900,62.0,55.0,79.0,,270.0,W,,9.0,,,0.62,25.0,Partly Cloudy
1546938000,1546949700,66.0,53.0,63.0,,270.0,W,,9.0,,,0.62,25.0,Partly Cloudy
1546948800,1546960500,63.0,55.0,74.0,,270.0,W,,5.0,,,0.62,,Fair
1546959600,1546971300,54.0,52.0,93.0,,,CALM,,0.0,,,0.62,,Fair
1546970400,1546982100,53.0,51.0,95.0,,290.0,WNW,,2.0,,,0.62,,Fair
1546992000,1547003700,51.0,48.0,90.0,,290.0,WNW,,3.0,,,0.62,,Fair
1547002800,1547014500,49.0,47.0,95.0,,270.0,W,,3.0,,,0.62,,Fog
1547013600,1547025300,63.0,51.0,65.0,,270.0,W,,16.0,,,0.62,,Fair
1547024400,1547036100,69.0,51.0,53.0,,270.0,W,,7.0,,,1.0,,Fair
1547035200,1547046900,65.0,51.0,59.0,,270.0,W,,5.0,,,1.0,,Fair
1547046000,1547057700,55.0,51.0,86.0,,270.0,W,,2.0,,,1.0,,Fair
1547056800,1547068500,51.0,49.0,95.0,,270.0,W,,2.0,,,1.0,,Fair
1547067600,1547079300,47.0,47.0,97.0,,290.0,WNW,,2.0,,,0.62,,Fair
1547078400,1547090100,45.0,45.0,100.0,,270.0,W,,2.0,,,0.12,,Fog
1547089200,1547100900,41.0,46.0,,,,CALM,,0.0,,,0.31,,Fog
1547100000,1547111700,63.0,51.0,63.0,,270.0,W,,5.0,,,1.0,,Fair
1547110800,1547122500,69.0,51.0,52.0,,270.0,W,,6.0,,,1.0,0.0,Fair
1547121600,1547133300,64.0,52.0,64.0,,270.0,W,,2.0,,,1.0,37.5,Partly Cloudy
1547143200,1547154900,48.0,48.0,100.0,,,CALM,,0.0,,,0.62,25.0,Fair
1547154000,1547165700,47.0,47.0,100.0,,,CALM,,0.0,,,0.62,,Fair
1547164800,1547176500,43.0,43.0,100.0,,270.0,W,,2.0,,,0.31,,Fog
1547175600,1547187300,45.0,45.0,100.0,,,CALM,,0.0,,,0.31,,Fog
1547186400,1547198100,64.0,53.0,67.0,,140.0,SE,,2.0,,,0.62,0.0,Fair
1547197200,1547208900,71.0,55.0,58.0,,90.0,E,,5.0,,,1.0,37.5,Partly Cloudy
1547208000,1547219700,65.0,55.0,69.0,,70.0,ENE,,2.0,,,1.0,,Fair
1547218800,1547230500,53.0,53.0,100.0,,,CALM,,0.0,,,1.0,,Fair
1547229600,1547241300,49.0,49.0,100.0,,,CALM,,0.0,,,0.62,,Fair
1547240400,1547252100,49.0,49.0,100.0,,,CALM,,0.0,,,0.62,,Fair
1547251200,1547262900,47.0,47.0,100.0,,,CALM,,0.0,,,0.62,,Fog
1547262000,1547273700,47.0,47.0,100.0,,,CALM,,0.0,,,0.12,25.0,Fog
1547272800,1547284500,67.0,53.0,61.0,,140.0,SE,,2.0,,,0.62,25.0,Fair
1547283600,1547295300,71.0,55.0,57.0,,140.0,SE,,5.0,,,0.62,37.5,Mostly Cloudy
1547294400,1547306100,67.0,55.0,64.0,,140.0,SE,,2.0,,,0.62,25.0,Partly Cloudy
1547305200,1547316900,55.0,53.0,93.0,,,CALM,,0.0,,,0.62,25.0,Partly Cloudy
1547316000,1547327700,51.0,51.0,100.0,,,CALM,,0.0,,,0.62,25.0,Fair
1547326800,1547338500,48.0,48.0,100.0,,,CALM,,0.0,,,0.31,25.0,Fog
1547337600,1547349300,53.0,53.0,100.0,,90.0,E,,2.0,,,0.31,37.5,Fog
1547348400,1547360100,54.0,52.0,93.0,,,CALM,,0.0,,,0.62,25.0,Partly Cloudy
1547359200,1547370900,67.0,56.0,69.0,,70.0,ENE,,2.0,,,0.62,,Fair
1547370000,1547381700,73.0,55.0,54.0,,270.0,W,,2.0,,,0.62,,Fair
1547380800,1547392500,68.0,59.0,72.0,,290.0,WNW,,2.0,,,0.62,,Fair
1547391600,1547403300,59.0,57.0,93.0,,290.0,WNW,,2.0,,,1.0,,Fair
1547402400,1547414100,56.0,55.0,96.0,,270.0,W,,2.0,,,1.0,,Fair
1547413200,1547424900,53.0,52.0,95.0,,270.0,W,,2.0,,,1.0,,Fair
1547424000,1547435700,49.0,47.0,95.0,,270.0,W,,5.0,,,1.0,,Fair
1547434800,1547446500,51.0,44.0,77.0,,270.0,W,,2.0,,,1.0,,Fair
1547445600,1547457300,62.0,40.0,44.0,,270.0,W,,17.0,,,1.0,,Fair
1547456400,1547468100,66.0,42.0,41.0,,290.0,WNW,,12.0,,,2.0,25.0,Fair
1547467200,1547478900,62.0,48.0,60.0,,270.0,W,,5.0,,,2.0,0.0,Fair
1547478000,1547489700,56.0,48.0,75.0,,290.0,WNW,,2.0,,,1.0,,Fair
1547488800,1547500500,52.0,49.0,88.0,,270.0,W,,9.0,,,0.62,,Fair
1547499600,1547511300,50.0,48.0,95.0,,290.0,WNW,,5.0,,,0.62,,Fair
1547510400,1547522100,46.0,45.0,97.0,,230.0,SW,,5.0,,,0.31,,Fair
1547521200,1547532900,46.0,46.0,97.0,,270.0,W,,6.0,,,0.62,37.5,Partly Cloudy
1547532000,1547543700,58.0,45.0,62.0,,270.0,W,,9.0,,,1.0,37.5,Partly Cloudy
1547542800,1547554500,66.0,46.0,48.0,,290.0,WNW,,9.0,,,1.0,37.5,Partly Cloudy
1547553600,1547565300,61.0,49.0,64.0,,270.0,W,,7.0,,,1.0,37.5,Mostly Cloudy
1547564400,1547576100,50.0,50.0,100.0,,,CALM,,0.0,,,1.0,,Fair
1547575200,1547586900,47.0,46.0,97.0,,,CALM,,0.0,,,1.0,,Fair
1547586000,1547597700,43.0,43.0,100.0,,,CALM,,0.0,,,0.62,,Fair
1547596800,1547608500,42.0,42.0,100.0,,,CALM,,0.0,,,0.62,,Fair
1547607600,1547619300,45.0,45.0,100.0,,,CALM,,0.0,,,0.12,25.0,Fog
1547618400,1547630100,62.0,51.0,68.0,,110.0,ESE,,5.0,,,0.62,25.0,Partly Cloudy
1547629200,1547640900,67.0,51.0,55.0,,90.0,E,,3.0,,,0.62,25.0,Partly Cloudy
1547640000,1547651700,66.0,55.0,68.0,,110.0,ESE,,2.0,,,0.62,25.0,Partly Cloudy
1547650800,1547662500,52.0,50.0,95.0,,140.0,SE,,2.0,,,0.62,37.5,Fair
1547661600,1547673300,50.0,49.0,97.0,,,CALM,,0.0,,,0.62,37.5,Fair
1547672400,1547684100,47.0,47.0,100.0,,,CALM,,0.0,,,0.31,37.5,Fog
1547683200,1547694900,44.0,44.0,100.0,,,CALM,,0.0,,,0.12,37.5,Fog
1547694000,1547705700,42.0,42.0,100.0,,,CALM,,0.0,,,0.31,,Fog
1547704800,1547716500,66.0,51.0,58.0,,140.0,SE,,3.0,,,0.62,,Fair
1547715600,1547727300,72.0,53.0,52.0,,290.0,WNW,,2.0,,,0.62,,Fair
1547726400,1547738100,67.0,55.0,66.0,,270.0,W,,2.0,,,1.0,,Fair
1547737200,1547748900,53.0,52.0,97.0,,,CALM,,0.0,,,0.62,,Fair
1547748000,1547759700,50.0,49.0,97.0,,,CALM,,0.0,,,0.62,,Fair
1547758800,1547770500,47.0,46.0,97.0,,,CALM,,0.0,,,0.31,,Fog
1547769600,1547781300,45.0,45.0,100.0,,270.0,W,,2.0,,,0.12,,Fog
1547780400,1547792100,44.0,44.0,100.0,,270.0,W,,2.0,,,0.0,100.0,Fog
1547791200,1547802900,63.0,51.0,65.0,,270.0,W,,5.0,,,0.62,,Fair
1547802000,1547813700,71.0,52.0,52.0,,250.0,WSW,,16.0,,,1.0,,Fair
1547812800,1547824500,67.0,55.0,66.0,,290.0,WNW,,2.0,,,1.0,,Fair
1547823600,1547835300,54.0,53.0,95.0,,290.0,WNW,,2.0,,,0.62,,Fair
1547834400,1547846100,51.0,50.0,97.0,,290.0,WNW,,2.0,,,0.62,,Fair
1547845200,1547856900,48.0,46.0,95.0,,290.0,WNW,,2.0,,,0.62,,Fog
1547856000,1547867700,45.0,45.0,100.0,,,CALM,,0.0,,,0.62,,Fog
